Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
João Paulo (GOL),,719,18,371,-300,-180,,,,3.0,2.0,,,,,,,,2.0,,21.0,,,,,112.0,2020,20
Andrey (MEI),,651,12,366,400,-48,47.0,,2.0,,27.0,3.0,1.0,,,,,1.0,3.0,,,27.0,,,,57.0,2020,20
Bruno Henrique (ATA),,1182,13,363,360,60,15.0,3.0,3.0,,32.0,6.0,4.0,2.0,,,,,7.0,1.0,,22.0,4.0,,,75.0,2020,20
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,20
John Victor (GOL),,381,1,1630,1630,281,,,,1.0,1.0,,,,,,,,,,,,,,,12.0,2020,21
Marinho (ATA),,2427,17,1068,500,-189,19.0,12.0,5.0,,82.0,21.0,13.0,1.0,,,,,3.0,,,25.0,14.0,,,95.0,2020,21
Thiago Galhardo (MEI),,1908,19,905,420,87,16.0,15.0,5.0,,29.0,17.0,11.0,,,,,1.0,1.0,,,17.0,11.0,,,94.0,2020,21
Vinicius Balieiro (MEI),,467,1,830,830,367,8.0,,,,4.0,,,,,,,,,,,3.0,,,,2.0,2020,21
Pepê (ATA),,1537,16,751,870,26,24.0,7.0,3.0,,40.0,10.0,7.0,,,,,,,,,7.0,2.0,,,67.0,2020,21
Keno (ATA),,1463,19,725,940,21,28.0,9.0,3.0,,26.0,23.0,21.0,4.0,,,,,4.0,,,24.0,16.0,,,179.0,2020,21
Vina (MEI),,1073,14,670,0,0,11.0,6.0,3.0,,8.0,21.0,15.0,1.0,,,,,1.0,,,10.0,3.0,,,134.0,2020,21
Giovanni Augusto (MEI),,836,15,619,450,-185,29.0,4.0,4.0,,37.0,4.0,3.0,1.0,,,,,1.0,,,10.0,1.0,,,89.0,2020,21
Arrascaeta (MEI),,1660,10,588,160,-198,16.0,3.0,2.0,,11.0,8.0,8.0,1.0,,,,,,,,10.0,,,,106.0,2020,21
Werley (ZAG),,416,1,560,560,16,1.0,,,1.0,,,,,,,,,,,,,,,,4.0,2020,21
Brenner (ATA),,623,13,560,210,-162,6.0,6.0,1.0,,20.0,11.0,5.0,1.0,,,,,2.0,,,10.0,5.0,,,25.0,2020,21
Renato Kayzer (ATA),,814,15,550,790,-97,10.0,7.0,1.0,,25.0,14.0,13.0,,,,,,2.0,,,26.0,10.0,,,57.0,2020,21
Nenê (MEI),,1335,16,546,520,59,16.0,7.0,1.0,,29.0,17.0,6.0,,,,,,2.0,,,7.0,,,,175.0,2020,21
Cano (ATA),,1531,17,541,1790,282,7.0,9.0,,,12.0,9.0,11.0,1.0,,,,,,,,18.0,7.0,,,37.0,2020,21
Luciano (ATA),,1067,15,531,1550,242,20.0,7.0,1.0,,24.0,8.0,2.0,1.0,,,,,3.0,,,20.0,4.0,,,72.0,2020,21
Vargas (ATA),,974,1,530,530,-26,1.0,,1.0,,2.0,2.0,,,,,,,1.0,,,,1.0,,,8.0,2020,21
Guilherme Arana (LAT),,1808,20,524,1160,76,32.0,3.0,3.0,7.0,17.0,14.0,14.0,,,,,,2.0,,,24.0,1.0,,,215.0,2020,21
Reinaldo (LAT),,1326,15,519,-40,-37,31.0,4.0,1.0,5.0,14.0,4.0,8.0,,,,,,3.0,,,21.0,,,,186.0,2020,21
Davó (ATA),,302,3,517,610,107,1.0,2.0,,,2.0,2.0,2.0,,,,,,1.0,,,4.0,3.0,,,10.0,2020,21
Robson (ATA),,899,20,509,-210,-89,25.0,6.0,1.0,,41.0,25.0,10.0,4.0,,,,,4.0,,,34.0,11.0,,,100.0,2020,21
Raphael Veiga (MEI),,1136,13,507,1830,320,11.0,6.0,,,22.0,11.0,4.0,,,,,,1.0,,,16.0,,,,77.0,2020,21
Victor Luis (LAT),,1067,14,498,620,72,42.0,2.0,1.0,3.0,13.0,3.0,4.0,,,,,,,1.0,,13.0,,,,113.0,2020,21
Jean Pyerre (MEI),,1338,7,498,1490,251,8.0,1.0,1.0,,7.0,12.0,3.0,1.0,,,,,,,,4.0,,,,38.0,2020,21
Abel Ferreira (TEC),,1182,2,497,543,59,,,,,,,,,,,,,,,,,,,,,2020,21
Guga (LAT),,1311,18,489,-30,-161,45.0,1.0,1.0,7.0,21.0,6.0,2.0,1.0,,,,,1.0,,,19.0,,,,143.0,2020,21
Fernando Sobral (MEI),,1222,19,473,10,-82,58.0,1.0,3.0,,36.0,15.0,9.0,1.0,,,,,2.0,,,32.0,6.0,,,117.0,2020,21
Felipe Jonatan (LAT),,1252,20,473,570,47,69.0,2.0,1.0,4.0,24.0,11.0,3.0,,,,,,5.0,,,26.0,,,,166.0,2020,21
