Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Gil (ZAG),Corinthians,10.85,16.0,4.69,0.0,0.0,,1.0,1.0,6.0,2.0,6.0,2.0,1.0,,,,,3.0,,,5.0,4.0,,27,2019,22.0,6.0
Jefferson (LAT),Goiás,11.33,24.0,4.62,0.2,-0.86,,1.0,2.0,8.0,27.0,7.0,2.0,,,,,,4.0,,,19.0,1.0,,27,2019,43.0,50.0
Lima (MEI),Ceará,5.79,11.0,4.6,0.6,-0.99,,1.0,1.0,,22.0,8.0,10.0,,,,,,2.0,,,12.0,2.0,,27,2019,17.0,21.0
Thiago Neves (MEI),Cruzeiro,9.07,21.0,4.6,4.0,-0.72,,6.0,2.0,,24.0,26.0,17.0,1.0,,,,,6.0,,,20.0,2.0,,27,2019,13.0,46.0
Michael (ATA),Goiás,8.67,25.0,4.6,0.0,0.0,,6.0,2.0,,35.0,23.0,19.0,2.0,,,,1.0,2.0,,,23.0,12.0,,27,2019,23.0,52.0
Pedrinho (MEI),Corinthians,10.94,18.0,4.49,0.6,0.2,,4.0,2.0,,30.0,9.0,13.0,,,,,,,,,7.0,2.0,,27,2019,14.0,52.0
Marcelo Lomba (GOL),Internacional,11.61,24.0,4.47,4.0,-1.87,,,,9.0,7.0,,,,35.0,,,,1.0,,22.0,,,,27,2019,,2.0
Gatito Fernández (GOL),Botafogo,8.68,21.0,4.46,1.0,-0.19,,,,7.0,4.0,,,,36.0,,,,3.0,,21.0,,,,27,2019,,11.0
Marcelo Cirino (ATA),Athlético-PR,9.72,22.0,4.46,9.5,1.37,,7.0,2.0,,20.0,16.0,7.0,1.0,,,,,,,,18.0,6.0,,27,2019,13.0,32.0
Renato Gaúcho (TEC),Grêmio,12.31,27.0,4.44,1.68,-0.13,,,,,,,,,,,,,,,,,,,27,2019,,
Guga (LAT),Atlético-MG,9.09,13.0,4.44,9.5,1.3,,,4.0,1.0,11.0,3.0,,,,,,,,,,12.0,2.0,,27,2019,30.0,44.0
Luan (ZAG),Palmeiras,9.27,9.0,4.43,0.7,-0.64,,,,3.0,8.0,2.0,3.0,,,,,,1.0,,,9.0,,,27,2019,17.0,11.0
